claim_id,claim,status,supporting_artifact,exact_allowed_wording,required_caveat,manuscript_location
A1,Final held-out center-2 metrics for both frozen models,allowed,results/metrics/exp09_final_ood_test/final_metrics.json,"On the single reserved center-2 evaluation, the frozen GroupDRO primary and matched ERM control achieved the reported exp09 metrics.","Single hospital, patch-level, one authorized attempt; not all-hospital or clinical performance.",Results: Final held-out evaluation
A2,Matched ERM outperformed the predeclared GroupDRO primary on center 2,allowed,results/tables/exp09b_final_model_comparison.csv,"The matched control outperformed the predeclared primary on AUROC, AUPRC, accuracy, sensitivity, F1, and false-negative count on the reserved center.",Do not relabel ERM as the predeclared primary or imply post-test model selection.,Abstract; Results; Discussion
A3,Development GroupDRO advantage reversed on the reserved hospital,allowed,results/tables/exp09b_development_vs_final_comparison.csv,The GroupDRO advantage observed on development center 1 did not generalize to reserved center 2.,"This is a two-hospital development-to-test contrast, not a universal DG conclusion.",Abstract; Results; Discussion
A4,"Frozen temperature scaling improved held-out ECE, Brier, and NLL",allowed,results/tables/exp09b_final_calibration_summary.csv,"Applying the pre-frozen temperatures improved held-out ECE, Brier score, and NLL for both models on center 2.",Temperatures were not refit; hard predictions and total FN did not change; no universal calibration-validity claim.,Results: Calibration; Discussion
A5,Development-selected operating targets transferred poorly,allowed,results/tables/exp09b_operating_point_transfer.csv,The frozen id_val-selected operating targets were not reliably preserved under the center-2 hospital shift.,Candidate/non-clinical thresholds; no threshold selected on test.,Results: Operating-point transfer; Discussion
A6,Calibration reduced high-confidence false negatives but not total false negatives,allowed,results/tables/exp09b_high_confidence_fn_summary.csv,Calibration sharply reduced confidently stated missed tumors while leaving the underlying total number of missed tumors unchanged.,Confidence correction is not error correction.,Results: High-confidence FN; Discussion
A7,Reserved-test discipline exposed model-selection risk,allowed,results/logs/exp09_final_ood_test_report.txt,The reserved-hospital protocol exposed a development-to-test reversal that would have been hidden by reporting ood_val as final performance.,Methodological contribution within this study; not proof that every reserved-hospital protocol will show reversal.,Discussion; Conclusion
C1,ERM may be preferred for future clinical use,conditional,results/tables/exp09b_final_model_comparison.csv,The center-2 result motivates further independent validation of the matched ERM control.,"No post-test model switch, no deployment recommendation, and no threshold validation.",Discussion: Future work
F1,Clinical deployment readiness,forbidden,none,Not allowed.,Patch-level single-dataset evidence does not establish clinical safety or utility.,Prohibited throughout
F2,Robustness to all hospitals,forbidden,none,Not allowed.,Only one reserved test hospital was evaluated.,Prohibited throughout
F3,Universal ERM superiority,forbidden,none,Not allowed.,ERM outperformed GroupDRO on center 2 only; development center 1 showed the opposite ordering.,Prohibited throughout
F4,Universal GroupDRO failure,forbidden,none,Not allowed.,GroupDRO improved development center 1 and worst-center id_val behavior.,Prohibited throughout
F5,Independent multi-center calibration validity,forbidden,none,Not allowed.,Frozen temperatures improved metrics on one reserved center only.,Prohibited throughout
F6,Clinically validated operating threshold,forbidden,none,Not allowed.,All operating points remain candidate/non-clinical.,Prohibited throughout
F7,WSI-level or patient-level effectiveness,forbidden,none,Not allowed.,Evaluation is patch-level.,Prohibited throughout
F8,"Superiority over CORAL, DANN, or untested DG methods",forbidden,none,Not allowed.,These methods were not implemented or evaluated.,Prohibited throughout
