evaluation_component,included,models,split_or_data_source,purpose,uses_ood_val,uses_ood_test,execution_milestone,notes
GroupDRO full id_val prediction,yes,7F GroupDRO (primary candidate),"full/larger id_val (validation, centers {0,3,4})",reload sanity + candidate threshold selection + per-center analysis,no,no,8B,inference only; thresholds selected here
GroupDRO full ood_val prediction,yes,7F GroupDRO (primary candidate),"full/larger ood_val (validation, center {1})",development OOD estimate; apply id_val-selected thresholds,yes,no,8B,development-stage OOD analysis (authorized)
matched ERM full id_val prediction,yes,7F center-stratified ERM (matched control),"full/larger id_val (validation, centers {0,3,4})",matched control reload sanity + threshold selection + per-center analysis,no,no,8B,keeps controlled comparison scaling with candidate
matched ERM full ood_val prediction,yes,7F center-stratified ERM (matched control),"full/larger ood_val (validation, center {1})",matched control OOD estimate (fair comparison vs GroupDRO),yes,no,8B,the FAIR controlled comparison is 7F ERM vs 7F GroupDRO
candidate threshold selection,yes,7F GroupDRO + 7F center-stratified ERM,"id_val only (thresholds), applied to ood_val",fixed-specificity (+optional fixed-sensitivity) candidate operating points,yes,no,8B,CANDIDATE only; NO committed clinical threshold
calibration fitting,optional,7F GroupDRO + 7F center-stratified ERM,ood_val logits (development-only) OR reuse saved 7G temperatures,development-only temperature scaling (argmax-invariant),yes,no,8B,R7 open; NO independent-test calibration claim; 8A fits nothing
high-confidence FN audit,yes,7F GroupDRO + 7F center-stratified ERM,ood_val predictions,count label==1 & pred==0 & confidence>=t (t=0.90/0.95/0.99) raw vs cal,yes,no,8B,missed-tumor safety audit
uncertainty/selective prediction,optional,7F GroupDRO + 7F center-stratified ERM,id_val + ood_val predictions,deterministic error-detection + risk-coverage/selective tables,yes,no,8B,deterministic only; NO MC-dropout/ensemble (model-based uncertainty deferred)
context-only model evaluation,optional,old plain ERM / 7A / 7D / 7E,id_val + ood_val (old confounded-cache-trained models),situate GroupDRO among prior levers (reference/context),yes,no,8B,NOT required for controlled story; never a controlled comparator
final ood_test evaluation,no,(none in 8A/8B),"test split, center {2} -- LOCKED","single final locked evaluation (separate, later, authorized)",no,no,excluded,LOCKED and unread; excluded from 8A and 8B
