claim,status,supporting_artifacts,caveat,manuscript_location
"Hospital-domain shift causes severe reliability degradation (acc 0.964->0.620, AUROC 0.993->0.770, sensitivity 0.944->0.405)",allowed,report_table_classification_shift.csv; report_fig_domain_shift_bar.png,"Development-stage; capped balanced subsets (id_val n=500, ood_val n=2000); ResNet-18; NOT final performance",Results Sec 1 / Table 1 / Fig 1 (Main)
"Temperature scaling improves calibration metrics on ood_val (ECE 0.233->0.092, Brier 0.276->0.216, NLL 0.915->0.609)",allowed,report_table_calibration.csv; report_fig_calibration_metrics.png,Fit and evaluated on the same ood_val subset (optimistic); development-stage,Results Sec 2 / Table 2 / Fig 2 (Main)
Calibrated confidence removes high-confidence false negatives at chosen thresholds in this ood_val subset (>=0.90-conf FNs 222->0),allowed,report_reliability_package_summary.txt; exp05b_high_confidence_errors.csv,Threshold- and subset-specific magnitude effect; does not change decisions; development-stage,Results Sec 2-3 (Main); detail in Supp
Deterministic uncertainty is weaker under OOD than ID (entropy error-detection AUROC 0.688 vs 0.927),allowed,report_table_uncertainty.csv; report_fig_uncertainty_error_detection.png,Deterministic single-forward-pass uncertainty only; development-stage,Results Sec 3 / Table 3 / Fig 3 (Main/Supp)
Temperature scaling is argmax-invariant: confidence magnitude changes but decisions/ranking metrics do not,allowed,report_table_calibration.csv; calibration_metrics.json (identical raw/calibrated classification),Interpretive/mathematical statement; still development-scope data,Methods (calibration) / Discussion (Main)
Confidence-based abstention has a hard ceiling under shift (@50% coverage OOD-cal risk 0.380->0.250; 198/595 FNs retained),allowed,report_table_selective_prediction.csv; report_fig_risk_coverage_entropy.png; report_fig_false_negative_abstention.png,Development-stage; capped ood_val subset; no operating threshold committed,Results Sec 4 / Table 4 / Figs 4-5 (Main/Supp)
Selective prediction is near-perfect ID (risk->0.000 at 50% coverage; all 14 FNs abstained),allowed,report_table_selective_prediction.csv; report_fig_risk_coverage_entropy.png,ID capped subset (n=500); contrast-only with OOD; development-stage,Results Sec 4 (Main)
Reproducible locked-split streaming protocol with a reserved test hospital (methodological contribution),allowed,PROJECT_PROTOCOL.md; CLAUDE.md; docs/SESSION_STATE.md,"Protocol claim, not a performance claim",Methods / Contributions (Main)
Findings motivate model-based uncertainty and domain-generalization as next steps,allowed,report_table_uncertainty.csv; report_table_selective_prediction.csv,Motivational framing only; those methods not implemented,Discussion / Future Work (Main)
Headline OOD generalization performance for an unseen hospital,conditional,(none yet - requires ood_test),Unlocks ONLY after the single locked ood_test (center 2) evaluation under written authorization,Reserved - not in current submission
Calibration generalizes to OOD (not merely fits this subset),conditional,(none yet - requires separate calibration/eval split),Unlocks after a calibration split distinct from the evaluation subset,Reserved - future work
Model-based uncertainty (MC-dropout / ensemble) improves OOD reliability,conditional,(none yet - deferred methods not implemented),Unlocks only if MC-dropout/ensembles are implemented and run (currently deferred),Reserved - future work
Superiority over domain-generalization / uncertainty methods,conditional,(none yet - no baselines run),Unlocks only after a DG/uncertainty baseline comparison,Reserved - future work
Committed abstention operating point for deployment,conditional,report_table_selective_prediction.csv (descriptive only),Unlocks after threshold selection on ood_val; none committed,Reserved - future work
Clinical deployment / clinical-use readiness,forbidden,(none - not supported by any artifact),"Patch-level, capped-subset development analysis; no clinical endpoint or WSI aggregation",Must not appear
Final generalization performance of the model/method,forbidden,(none - capped development subsets only),No full-split or held-out test evaluation has been run,Must not appear
Superiority over all/most DG or uncertainty methods,forbidden,(none - no comparison performed),No baselines exist in this study,Must not appear
Any conclusion about ood_test (center 2),forbidden,(none - ood_test LOCKED and never read),ood_test is reserved for a single final evaluation; unread in all milestones,Must not appear
Paper-level final metrics quoted from capped development subsets,forbidden,(none - development subsets are not final),Capped balanced subsets are not representative full-distribution performance,Must not appear
Calibration improves accuracy / sensitivity / decisions,forbidden,report_table_calibration.csv (classification unchanged),Temperature scaling is argmax-invariant; decisions and accuracy are unchanged,Must not appear
Abstention makes OOD predictions safe / solves domain shift,forbidden,report_table_selective_prediction.csv (OOD risk 0.25 at 50% coverage),"Confident OOD errors are retained, not abstained; risk stays high",Must not appear
