claim,evidence_source,allowed_now,wording_allowed_before_ood_test,wording_after_ood_test_if_supported,risk_level
GroupDRO improves over matched ERM in development evaluation,results/tables/exp08b_overall_metrics.csv (8B ood_val AUROC 0.8956 vs 0.8673),yes,"In the controlled development setting, GroupDRO-by-center improves ood_val (center 1) AUROC/AUPRC/sensitivity over its matched center-stratified ERM control (AUROC 0.8956 vs 0.8673).","GroupDRO beats its matched ERM control on the reserved center-2 test set (single unseen hospital), controlled same-cache comparison.",low
GroupDRO improves worst-center behavior in development evaluation,results/tables/exp08b_id_val_per_center_metrics.csv (center 4 acc 0.6901->0.8031),yes,"In development, GroupDRO improves worst-center (center 4) id_val accuracy/AUROC over the matched ERM control (acc 0.6901 vs 0.8031).","GroupDRO's worst-group robustness carries to the reserved test hospital (if supported by the center-2 result).",low
Calibration improves reliability in development evaluation,results/tables/exp08c_calibration_comparison.csv (ECE 0.1560->0.0394 GroupDRO; 0.1829->0.0695 ERM),yes,"Temperature scaling improves calibration (ECE/Brier/NLL) on the ood_val subset; the temperature is fit and evaluated on the same split (development-stage).","Pre-frozen temperatures reduce ECE/Brier/NLL on the reserved test (still not a separate-split calibration generalization proof).",medium
Calibration is argmax-invariant (does not change decisions),results/tables/exp08c_reliability_summary.csv (AUROC/sens/FN unchanged raw vs calibrated),yes,"Temperature scaling is argmax-invariant: it rescales confidence but leaves accuracy/AUROC/AUPRC/sensitivity/specificity/FN unchanged.","Temperature scaling remains argmax-invariant on the reserved test (mechanical property, not a performance claim).",low
High-confidence missed tumors are reduced after calibration,results/tables/exp08c_high_confidence_fn_comparison.csv (GroupDRO conf>=0.90 3922->533; conf>=0.99 1679->0),yes,"After calibration, high-confidence false negatives fall sharply on the ood_val subset (GroupDRO conf>=0.90 3922->533; conf>=0.99 1679->0); the total FN count is unchanged.","After calibration, high-confidence false negatives are reduced on the reserved center-2 test (development-consistent; total FN unchanged).",medium
GroupDRO has fewer high-confidence false negatives than matched ERM,results/tables/exp08c_high_confidence_fn_comparison.csv,yes,"In development, GroupDRO has fewer high-confidence false negatives than its matched ERM control at every confidence threshold, raw and calibrated.","GroupDRO retains fewer high-confidence false negatives than matched ERM on the reserved test (if supported).",low
Candidate operating points recover OOD sensitivity,results/tables/exp08b_candidate_operating_points.csv,conditional,"Candidate id_val-selected fixed-specificity operating points give GroupDRO higher ood_val sensitivity than ERM at 4/4 targets (candidate only; not committed).","Candidate operating points evaluated on the reserved test (still not a committed clinical threshold).",medium
Hospital shift causes severe reliability degradation,results/tables/report_table_classification_shift.csv (6A),yes,"Hospital-domain shift causes severe reliability degradation in the development setting (accuracy/AUROC/sensitivity drop from id_val to ood_val).","(unchanged) Shift degrades reliability; the reserved-test result quantifies degradation on one unseen hospital.",low
final generalization performance,none (ood_test unread),no,"none - forbidden; state 'development-stage estimate on full ood_val (center 1)' instead.","held-out generalization on the reserved center-2 test set (single unseen hospital); not multi-hospital/population generalization.",high
independent-test calibration validity,none (R7: fit+eval on same ood_val),no,"none - forbidden; state 'improves calibration on the ood_val subset (fit+eval on same split, R7)' instead.","pre-frozen temperatures reduce ECE/Brier/NLL on the reserved test (still NOT a separate-split calibration generalization proof).",high
GroupDRO superiority over untested DG methods (CORAL/DANN),none (not run),no,"none - forbidden; only GroupDRO vs matched ERM was compared.","none - still forbidden unless CORAL/DANN are actually run.",high
GroupDRO beats old plain ERM in a controlled comparison,context-only (different confounded cache),no,"none - forbidden; old plain ERM is context-only (different cache/id_val subset), not a controlled comparator.","none - still forbidden; the only controlled comparison is 7F ERM vs 7F GroupDRO.",high
clinical deployment readiness,"none (patch-level, single dataset, no WSI/clinical endpoint)",no,"none - never claim clinical readiness.","none - still forbidden; requires WSI aggregation, external cohorts, and clinical validation.",high
fixed-threshold clinical use,none (no committed threshold),no,"none - forbidden; report candidate id_val-selected operating points (not committed) only.","candidate operating points on the reserved test (still not a validated/committed clinical threshold).",high
robustness to all hospital shifts,none (one OOD hospital),no,"none - forbidden; state 'evidence on one OOD hospital (center 1)' only.","evidence on two unseen hospitals (centers 1 and 2); NOT all-hospital robustness.",high
model-based uncertainty (MC-dropout/ensemble) findings,"none (deferred/optional, not run)",no,"none - forbidden; deterministic + temperature-scaled confidence only.","none - still forbidden unless MC-dropout/ensembles are actually run.",medium
