decision_area,current_status,recommendation,frozen_status,reason,risk_if_ignored,next_action
primary model,7F GroupDRO (+ temperature-scaled confidence) is the primary CONTROLLED candidate; not yet frozen as final.,Retain GroupDRO as primary candidate; freeze only at final-eval protocol time.,conditional,Beat its matched ERM control on ood_val (AUROC 0.7129 vs 0.6180); first DG lever to do so.,Testing an unvetted/undocumented model on ood_test; wasting the one-time test run.,Confirm candidate in final-eval protocol (Path B) before any ood_test.
matched control,7F center-stratified ERM is the fair matched control (same sound 7F-1 cache).,Keep as the controlled baseline; report alongside GroupDRO.,frozen,Only matched baseline that isolates the GroupDRO objective from cache/subset differences.,Losing the controlled comparison; reverting to an unfair (context) baseline.,Report ERM vs GroupDRO as the controlled comparison in all outputs.
context baselines,old plain ERM / 7A / 7D / 7E are context-only (old confounded cache / different id_val subset).,Report as context/reference only; never as controlled comparators for GroupDRO.,frozen,"Different training cache/subset; e.g. old plain ERM AUROC 0.7696 is a reference gap, not a controlled loss.",Falsely claiming GroupDRO beats/loses to plain ERM in a controlled comparison.,Keep context-only labelling in tables/manuscript.
calibration policy,7G temperature scaling (GroupDRO T=3.6570) improves ECE/Brier/NLL but is fit+eval on the same ood_val subset (R7); argmax-invariant.,Report as development-stage calibration; do NOT claim it generalizes.,not_frozen,No separate calibration/eval split; optimistic estimate.,Over-claiming calibration; leaky calibration estimate at test time.,Decide a validated calibration policy (separate split) before any final calibration claim.
operating threshold,Only candidate id_val-selected fixed-specificity points exist; NONE committed.,Do not commit a clinical threshold yet.,not_frozen,Candidate points are development-stage; no deployable threshold chosen.,Committing a threshold that does not transfer to the unseen test hospital.,"Optionally commit an operating point on ood_val later (gated), then freeze for test."
full ood_val evaluation,All OOD numbers are on a capped balanced ood_val subset (n=2000).,Recommended before final test if compute/time allows (Path A).,not_frozen,Capped subset fragility (R1/R4); larger ood_val de-risks the locked test.,Final test conclusions resting on a small balanced subset.,Plan a larger/full id_val + ood_val development evaluation (inference only; no ood_test).
final ood_test timing,ood_test is LOCKED and unread; touched once at the very end.,Do NOT run until final model+calibration+threshold are frozen AND explicitly authorized.,frozen,Reserved-test discipline; single held-out generalization estimate.,Burning the one-time test on an unfrozen configuration.,Run only after Path B protocol is frozen and written authorization is given.
additional DG method,Only GroupDRO tested; no CORAL/DANN (R3 residual).,Optional (Path C); only if DG breadth is worth the training scope.,not_frozen,Broader DG comparison further reduces R3 but adds training scope.,Reviewer asks for DG breadth; single-method DG story.,Decide whether to add CORAL/DANN on the sound 7F-1 caches (gated).
model-based uncertainty,Deterministic uncertainty + temperature scaling only (R8).,DEFERRED / optional (Path D); NOT the default next step.,not_frozen,MC-dropout/ensemble not required to freeze candidate or run final test.,Reviewer expects model-based uncertainty for an uncertainty paper.,"Only on explicit approval, after this 7I decision."
manuscript drafting,6A/6B/7H reporting + claims governance exist; no draft written.,"Recommended (Path E), especially as a fallback if compute/time is limited.",not_frozen,Zero-compute consolidation of the controlled DG + reliability story.,Delaying write-up; losing the current evidence framing.,Start methods/results skeleton around current evidence (no new experiments).
